"object_category_Id";"ID";"Name";"AdmArea";"District";"Address";"Longitude_WGS84";"Latitude_WGS84";"global_id";"geodata_center";"geoarea";
"object_category_Id";"Код";"Наименование";"Административный округ";"Район";"Адрес";"Долгота в WGS-84";"Широта в WGS-84";"global_id";"geodata_center";"geoarea";
"";"578";"Станция №129, 22 кВт";"Зеленоградский административный округ";"район Силино";"город Москва, город Зеленоград, улица Конструктора Лукина, дом 14, строение 1";"37.158764";"56.007509";"2566178250";"";"";
"";"540";"Станция №130, 22 кВт";"Южный административный округ";"Даниловский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Автозаводская улица, дом 5";"37.661939";"55.708811";"2566178251";"";"";
"";"543";"Станция №140, 50 кВт";"Северо-Восточный административный округ";"Останкинский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Останкинский, проспект Мира, дом 119, строение 70";"37.637121";"55.830991";"2566178253";"";"";
"";"443";"Станция №159, 22 кВт";"Центральный административный округ";"Тверской район";"город Москва, Леонтьевский переулок, дом 25";"37.60689";"55.7618";"2566178254";"";"";
"";"544";"Станция №162, 22 кВт";"Центральный административный округ";"Мещанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Щепкина, дом 3, строение 3";"37.62879";"55.77422";"2566178255";"";"";
"";"493";"Станция №164, 22 кВт";"Центральный административный округ";"Мещанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Верземнека, дом 6";"37.629107";"55.791289";"2566178256";"";"";
"";"581";"Станция №180, 22 кВт";"Центральный административный округ";"район Якиманка";"город Москва, Якиманский переулок, дом 6, строение 1";"37.609583";"55.7335";"2566178257";"";"";
"";"565";"Станция №181, 22 кВт";"Центральный административный округ";"район Якиманка";"город Москва, Якиманский переулок, дом 6, строение 1";"37.609596";"55.733539";"2566178258";"";"";
"";"508";"Станция №192, 22 кВт";"Центральный административный округ";"район Хамовники";"город Москва, Олсуфьевский переулок, дом 10, строение 1";"37.578912";"55.733981";"2566178259";"";"";
"";"509";"Станция №193, 22 кВт";"Центральный административный округ";"район Хамовники";"город Москва, Олсуфьевский переулок, дом 10, строение 1";"37.579011";"55.733909";"2566178260";"";"";
"";"551";"Станция №195, 22 кВт";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, Большой Казённый переулок, дом 6, строение 1";"37.655039";"55.760043";"2566178261";"";"";
"";"499";"Станция №218, 22 кВт";"Центральный административный округ";"Мещанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, улица Щепкина, дом 49А";"37.629089";"55.783471";"2566178263";"";"";
"";"478";"Станция №230, 22 кВт";"Юго-Западный административный округ";"Ломоносовский район";"улица Академика Пилюгина, дом 8, сооружение 2";"37.541126";"55.670519";"2566178264";"";"";
"";"458";"Станция №231, 22 кВт";"Юго-Западный административный округ";"Обручевский район";"город Москва, улица Островитянова, дом 9, корпус 1, строение 1";"37.49632";"55.64313";"2566178265";"";"";
"";"524";"Станция №232, 22 кВт";"Северо-Восточный административный округ";"Алексеевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Алексеевский, улица Космонавтов, дом 10, корпус 1";"37.65031";"55.82108";"2566641711";"";"";
"";"583";"Станция №233, 22 кВт";"Северо-Западный административный округ";"район Покровское-Стрешнево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Покровское-Стрешнево, улица Свободы, дом 6/3";"37.45212";"55.82572";"2566641713";"";"";
"";"464";"Станция №234, 22 кВт";"Северный административный округ";"район Ховрино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, улица Ляпидевского, дом 2";"37.497988";"55.854783";"2566641714";"";"";
